city,country,country_clean,continent_name,median_salary,average_salary,rent_usd_proxy,utilities_usd_proxy,grocery_item_price_median,salary_pr,rent_pr,grocery_pr,utilities_pr,affordability_score,cluster_label
Seoul,South Korea,South Korea,Asia,2593.42,2889.81,1236.81,110.36,3.465,0.483378071,0.768971769,0.85041948,0.784385027,34.01429461,Low Salary–Low Cost
Shanghai,China,China,Asia,3684.93,4027.4,1326.76,88.21,2.055,0.578050795,0.800828801,0.509310415,0.54513369,45.96994297,Low Salary–Low Cost
Guangzhou,China,China,Asia,3684.93,4027.4,610.665,59.65,1.67,0.578050795,0.495467495,0.412727645,0.208663102,57.21798396,High Cost–Low Salary
Mumbai,India,India,Asia,327.97,384.43,611.1,43.57,1.145,0.073095189,0.495726496,0.16226724,0.099251337,37.51999558,High Cost–Low Salary
Delhi,India,India,Asia,327.97,384.43,279.495,49.99,1.025,0.073095189,0.234395234,0.108144056,0.133903743,44.96247876,High Cost–Low Salary
Dhaka,Bangladesh,Bangladesh,Asia,218.57,236.71,175.295,41.53,1.21,0.020132149,0.128205128,0.199508901,0.089197861,43.36531194,High Cost–Low Salary
Osaka,Japan,Japan,Asia,3158.67,3453.12,834.065,128.77,3.13,0.501342143,0.612017612,0.789441375,0.897860963,39.48853455,Low Salary–Low Cost
Jakarta,Indonesia,Indonesia,Asia,678.91,788.83,560.315,79.85,1.88,0.140925046,0.462574463,0.4682832,0.428877005,33.97184173,High Cost–Low Salary
Shenzhen,China,China,Asia,3684.93,4027.4,812.455,81.84,1.48,0.578050795,0.603470603,0.323613669,0.462245989,55.03227134,Low Salary–Low Cost
Kinshasa,Congo,Congo,,,,1580,127.5,3.375,,0.854700855,0.835788828,0.890695187,,
Bangkok,Thailand,Thailand,Asia,2432.28,2662.11,777.895,83.6,1.78,0.444972125,0.585858586,0.441886638,0.479037433,46.36922166,Low Salary–Low Cost
Karachi,Pakistan,Pakistan,Asia,245.34,284.9,141.795,32.04,1.07,0.026429899,0.092204092,0.12645795,0.041390374,46.28028177,High Cost–Low Salary
Cairo,Egypt,Egypt,Africa,254.53,298.51,215.375,48.65,0.775,0.049969027,0.176638177,0.036832413,0.124171123,46.72499309,High Cost–Low Salary
Sao Paulo,Brazil,Brazil,South America,1490.04,1711.16,627.57,69.27,1.52,0.310241586,0.502978503,0.344280745,0.305989305,44.52205529,High Cost–Low Salary
Mexico City,Mexico,Mexico,Central America,1681.97,1917.34,808.685,84.28,1.535,0.367953748,0.601916602,0.351851852,0.485561497,43.88492781,High Cost–Low Salary
Lagos,Nigeria,Nigeria,Africa,389.85,438.91,1828.995,68.08,1.915,0.095395416,0.9000259,0.476263556,0.292941176,21.27914629,High Cost–Low Salary
Kolkata,India,India,Asia,327.97,384.43,198.445,34.08,1.055,0.073095189,0.156177156,0.120216902,0.051016043,47.09091229,High Cost–Low Salary
Beijing,China,China,Asia,3684.93,4027.4,1326.435,86.62,1.96,0.578050795,0.800569801,0.48731328,0.527272727,46.50566549,Low Salary–Low Cost
Moscow,Russia,Russia,Europe,975.51,1065.68,1153.16,145.92,1.825,0.211232707,0.73996374,0.456619603,0.94171123,28.22159364,Low Salary–Low Cost
Tokyo,Japan,Japan,Asia,3158.67,3453.12,1255.935,105.9,3.415,0.501342143,0.779072779,0.842132187,0.745668449,35.01930169,Low Salary–Low Cost
Manila,Philippines,Philippines,Asia,728.78,790.54,627.095,72.61,1.645,0.156721041,0.502201502,0.405054225,0.345775401,35.45105296,High Cost–Low Salary
New York,United States,United States,Northern America,6966,7925,4065.425,145.62,4.245,0.880446005,0.996891997,0.945262943,0.941069519,45.48939386,High Salary–Moderate Cost
Istanbul,Turkey,Turkey,Asia,254.1,286.13,602.375,68.88,1.49,0.0415032,0.490546491,0.327501535,0.303529412,31.74382001,High Cost–Low Salary
Buenos Aires,Argentina,Argentina,South America,110.28,129.42,378.26,89.76,1.255,0.009911212,0.331261331,0.219971353,0.562245989,35.00337032,High Cost–Low Salary
Bangalore,India,India,Asia,327.97,384.43,298.19,37.25,1.195,0.073095189,0.253820254,0.191119296,0.068342246,43.14515595,High Cost–Low Salary
Lahore,Pakistan,Pakistan,Asia,245.34,284.9,149.765,54.62,0.77,0.026429899,0.1004921,0.035911602,0.171229947,47.23481065,High Cost–Low Salary
Chennai,India,India,Asia,327.97,384.43,220.22,34.67,1.275,0.073095189,0.181041181,0.231328013,0.054545455,44.22944239,High Cost–Low Salary
Chengdu,China,China,Asia,3684.93,4027.4,443.675,90.75,1.41,0.578050795,0.378917379,0.295477798,0.578074866,60.62967498,Low Salary–Low Cost
London,United Kingdom,United Kingdom,Europe,6300,7235.37,2624.655,104.69,2.73,0.728370845,0.96995597,0.700532024,0.724812834,44.53493833,High Salary–Moderate Cost
Wuhan,China,China,Asia,3684.93,4027.4,361.935,76.81,1.555,0.578050795,0.318829319,0.360957643,0.394010695,61.74260045,High Cost–Low Salary
Hyderabad,India,India,Asia,327.97,384.43,225.255,39.26,1.145,0.073095189,0.185962186,0.16226724,0.078074866,45.36998567,High Cost–Low Salary
Tehran,Iran,Iran,Asia,932.63,1070.97,731.555,91.91,0.965,0.192649184,0.559440559,0.086965418,0.590909091,40.95259141,High Cost–Low Salary
Paris,France,France,Europe,3769.56,4377.38,1715.56,136.1,2.865,0.630807351,0.881895882,0.729179456,0.919251337,40.31312469,Low Salary–Low Cost
Nagoya,Japan,Japan,Asia,3158.67,3453.12,2017.535,96.79,2.815,0.501342143,0.925666926,0.718641293,0.647807487,34.31357073,High Salary–High Cost
Ho Chi Minh City,Vietnam,Vietnam,Asia,612.57,711.24,552.395,88.58,1.265,0.129878175,0.456358456,0.227235523,0.548770053,37.7963866,High Cost–Low Salary
Los Angeles,United States,United States,Northern America,6966,7925,3063.56,133,3.82,0.880446005,0.987049987,0.897380806,0.912192513,46.83747186,High Salary–Moderate Cost
Baoding,China,China,Asia,3684.93,4027.4,,99.65,1.14,0.578050795,,0.159504809,0.672406417,,
Lima,Peru,Peru,South America,1825.86,1997.36,606.19,71.32,1.57,0.392525294,0.494949495,0.367607939,0.329839572,48.25117069,High Cost–Low Salary
Rio de Janeiro,Brazil,Brazil,South America,1490.04,1711.16,485.265,64.31,1.455,0.310241586,0.406630407,0.315428688,0.253903743,47.76822664,High Cost–Low Salary
Tianjin,China,China,Asia,3684.93,4027.4,480.45,76.64,1.365,0.578050795,0.403522404,0.276140782,0.391550802,61.33391002,High Cost–Low Salary
Nanyang,China,China,Asia,3684.93,4027.4,113.88,83.51,1.155,0.578050795,0.055426055,0.168405975,0.477433155,71.76160309,High Cost–Low Salary
Shijiazhuang,China,China,Asia,3684.93,4027.4,249.12,76.64,1.25,0.578050795,0.209272209,0.217208922,0.391550802,67.36880207,High Cost–Low Salary
Zhengzhou,China,China,Asia,3684.93,4027.4,298.945,110.32,1.07,0.578050795,0.254597255,0.124309392,0.783636364,66.13323872,Low Salary–Low Cost
Luanda,Angola,Angola,Africa,284.39,314.39,283.505,208.25,2.185,0.052653314,0.236985237,0.556271741,0.985668449,30.65425771,Low Salary–Low Cost
Weifang,China,China,Asia,3684.93,4027.4,,78.3,1.14,0.578050795,,0.159504809,0.414652406,,
Linyi,China,China,Asia,3684.93,4027.4,284.71,71.18,1.125,0.578050795,0.238539239,0.149273583,0.32855615,68.31080638,High Cost–Low Salary
Chicago,United States,United States,Northern America,6966,7925,2209.56,95.95,3.34,0.880446005,0.944314944,0.83046859,0.636470588,50.62270188,High Salary–Moderate Cost
Hanoi,Vietnam,Vietnam,Asia,612.57,711.24,394.045,72.53,1.185,0.129878175,0.341103341,0.184980561,0.344812834,42.54264982,High Cost–Low Salary
Chongqing,China,China,Asia,3684.93,4027.4,291.47,55.52,1.34,0.578050795,0.246050246,0.263147125,0.179786096,66.58941062,High Cost–Low Salary
Ganzhou,China,China,Asia,3684.93,4027.4,298.95,45.08,1.33,0.578050795,0.254985755,0.258031512,0.107165775,66.83143675,High Cost–Low Salary
Ahmedabad,India,India,Asia,327.97,384.43,426.445,39.47,1.06,0.073095189,0.366485366,0.121546961,0.078716578,41.66810317,High Cost–Low Salary
Pune,India,India,Asia,327.97,384.43,266.315,34.39,1.115,0.073095189,0.223258223,0.143134848,0.052834225,44.94643579,High Cost–Low Salary
Foshan,China,China,Asia,3684.93,4027.4,391.475,49.82,1.67,0.578050795,0.338383838,0.412727645,0.132727273,61.52475453,High Cost–Low Salary
Tongshan,China,China,Asia,3684.93,4027.4,382.58,74.02,1.53,0.578050795,0.333851334,0.348987109,0.363850267,61.75726289,High Cost–Low Salary
Heze,China,China,Asia,3684.93,4027.4,,83.635,2.135,0.578050795,,0.542868836,0.480320856,,
Changchun,China,China,Asia,3684.93,4027.4,391.475,85.41,1.205,0.578050795,0.338383838,0.196951095,0.511764706,63.94509836,High Cost–Low Salary
Nanjing,China,China,Asia,3684.93,4027.4,570.9,72.96,1.51,0.578050795,0.473711474,0.340597504,0.34802139,58.50769588,High Cost–Low Salary
Bogota,Colombia,Colombia,South America,995.6,1157.85,392.4,62.19,1.02,0.228267603,0.339290339,0.106711684,0.231229947,49.64073824,High Cost–Low Salary
Kuala Lumpur,Malaysia,Malaysia,Asia,1236.17,1406.38,479.47,59.83,1.72,0.268944869,0.403263403,0.42613055,0.210695187,43.78957142,High Cost–Low Salary
Hefei,China,China,Asia,3684.93,4027.4,303.69,85.37,1.27,0.578050795,0.25977726,0.229281768,0.510802139,65.2684622,High Cost–Low Salary
Dongguan,China,China,Asia,3684.93,4027.4,355.885,42.81,1.435,0.578050795,0.312095312,0.305606712,0.094973262,64.5131564,High Cost–Low Salary
Jinan,China,China,Asia,3684.93,4027.4,350.225,74.69,1.155,0.578050795,0.306656307,0.168405975,0.37026738,66.01667568,High Cost–Low Salary
Hong Kong,Hong Kong,Hong Kong,Asia,4252.87,4687.1,2660.145,135.72,2.9,0.659921536,0.971768972,0.73664825,0.917860963,39.3795827,High Salary–Moderate Cost
Dar es Salaam,Tanzania,Tanzania,Africa,457.77,505.54,562.98,74.3,1.125,0.106442288,0.464646465,0.149273583,0.366417112,38.88839555,High Cost–Low Salary
Cangzhou,China,China,Asia,3684.93,4027.4,284.71,71.18,1.44,0.578050795,0.238539239,0.309187641,0.32855615,65.11252522,High Cost–Low Salary
Shenyang,China,China,Asia,3684.93,4027.4,446.045,90.11,1.335,0.578050795,0.37969438,0.260282382,0.57197861,61.34463957,Low Salary–Low Cost
Santiago,Chile,Chile,South America,1890.4,2090.56,645.8,73.85,1.535,0.398306835,0.515669516,0.351851852,0.363101604,48.17105878,High Cost–Low Salary
Xi'an,China,China,Asia,3684.93,4027.4,353.515,68.6,1.37,0.578050795,0.310541311,0.2788009,0.300855615,64.0587109,High Cost–Low Salary
Zhanjiang,China,China,Asia,3684.93,4027.4,377.24,90.72,1.29,0.578050795,0.330613831,0.23981993,0.577326203,62.95416436,Low Salary–Low Cost
Nantong,China,China,Asia,3684.93,4027.4,665.165,72.96,1.51,0.578050795,0.524216524,0.340597504,0.34802139,57.24506962,High Cost–Low Salary
Riyadh,Saudi Arabia,Saudi Arabia,Asia,3840,4480,757.07,93.46,1.85,0.644332026,0.574462574,0.462349089,0.606417112,55.57596957,Low Salary–Low Cost
Nanning,China,China,Asia,3684.93,4027.4,296.53,90.72,1.42,0.578050795,0.252784253,0.299263352,0.577326203,63.71103538,Low Salary–Low Cost
Yancheng,China,China,Asia,3684.93,4027.4,711.77,83.635,1.99,0.578050795,0.551023051,0.493452016,0.480320856,52.85631888,Low Salary–Low Cost
Hangzhou,China,China,Asia,3684.93,4027.4,625.225,86.02,1.76,0.578050795,0.501683502,0.438203397,0.517967914,55.0065447,Low Salary–Low Cost
Miami,United States,United States,Northern America,6966,7925,2889.775,105.77,3.71,0.880446005,0.98005698,0.883977901,0.74513369,48.11564927,High Salary–Moderate Cost
Yantai,China,China,Asia,3684.93,4027.4,,78.3,1.565,0.578050795,,0.365050133,0.414652406,,
Luoyang,China,China,Asia,3684.93,4027.4,330.975,78.3,1.175,0.578050795,0.286454286,0.178432576,0.414652406,66.09926903,High Cost–Low Salary
Kunming,China,China,Asia,3684.93,4027.4,293.82,93.9,1.59,0.578050795,0.249417249,0.377839165,0.61026738,62.05898831,Low Salary–Low Cost
Baghdad,Iraq,Iraq,Asia,1382.38,1573.31,446.01,46.38,1.365,0.28050795,0.379435379,0.275219971,0.11144385,48.47789432,High Cost–Low Salary
Quanzhou,China,China,Asia,3684.93,4027.4,569.42,92.53,1.71,0.578050795,0.472157472,0.423675056,0.599037433,55.62991465,Low Salary–Low Cost
Madrid,Spain,Spain,Europe,2579.28,2875.26,1183.38,97.23,1.965,0.47005988,0.75006475,0.488131778,0.651336898,41.7320552,Low Salary–Low Cost
Khartoum,Sudan,Sudan,Africa,67.61,74.53,486.835,41.59,1.825,0.004749122,0.407666408,0.455903417,0.089839572,30.47852973,High Cost–Low Salary
Qingdao,China,China,Asia,3684.93,4027.4,314.48,66,1.33,0.578050795,0.267806268,0.258031512,0.27368984,65.67830361,High Cost–Low Salary
Wuxi,China,China,Asia,3684.93,4027.4,665.505,49.75,1.53,0.578050795,0.524475524,0.348987109,0.131229947,58.15475973,High Cost–Low Salary
Huanggang,China,China,Asia,3684.93,4027.4,,,,0.578050795,,,,,
Maoming,China,China,Asia,3684.93,4027.4,177.94,64.06,1.16,0.578050795,0.130536131,0.170554532,0.250160428,70.9772437,High Cost–Low Salary
Nanchong,China,China,Asia,3684.93,4027.4,,55.52,1.14,0.578050795,,0.159504809,0.179786096,,
Dallas,United States,United States,Northern America,6966,7925,2117.22,121.24,3.815,0.880446005,0.937321937,0.896869245,0.858395722,48.35988829,High Salary–Moderate Cost
Giza,Egypt,Egypt,Africa,254.53,298.51,134.555,41.97,0.675,0.049969027,0.082362082,0.017597708,0.090481283,49.63503873,High Cost–Low Salary
Allahabad,India,India,Asia,327.97,384.43,110.535,59.36,1.075,0.073095189,0.052447552,0.128504195,0.206203209,48.7424707,High Cost–Low Salary
Yulin,China,China,Asia,3684.93,4027.4,,90.72,1.495,0.578050795,,0.329752404,0.577326203,,
Changde,China,China,Asia,3684.93,4027.4,,84.52,1.765,0.578050795,,0.439942705,0.498074866,,
Philadelphia,United States,United States,Northern America,6966,7925,2013.87,122.62,3.985,0.880446005,0.924112924,0.914262329,0.863315508,48.31765301,High Salary–Moderate Cost
Liaocheng,China,China,Asia,3684.93,4027.4,,,1.35,0.578050795,,0.268876611,,,
Nairobi,Kenya,Kenya,Africa,863.29,991.43,418.98,43.87,1.675,0.182841214,0.36001036,0.415183139,0.099786096,41.33920845,High Cost–Low Salary
Guadalajara,Mexico,Mexico,Central America,1681.97,1917.34,653.865,68.82,1.555,0.367953748,0.518518519,0.360957643,0.303208556,46.69952879,High Cost–Low Salary
Xiangyang,China,China,Asia,3684.93,4027.4,,71.18,1.07,0.578050795,,0.124309392,0.32855615,,
Houston,United States,United States,Northern America,6966,7925,1766.365,100.62,3.15,0.880446005,0.888629889,0.793226929,0.692620321,52.47891284,High Salary–High Cost
Atlanta,United States,United States,Northern America,6966,7925,2043.445,89.44,3.33,0.880446005,0.928515929,0.828831594,0.556470588,51.45041719,High Salary–High Cost
Nanchang,China,China,Asia,3684.93,4027.4,252.68,53.86,1.275,0.578050795,0.214711215,0.231328013,0.166631016,68.07504404,High Cost–Low Salary
Dezhou,China,China,Asia,3684.93,4027.4,,66,1.37,0.578050795,,0.2788009,0.27368984,,
Suzhou,China,China,Asia,3684.93,4027.4,925.88,99.65,2.805,0.578050795,0.652162652,0.717004297,0.672406417,44.89635542,Low Salary–Low Cost
Toronto,Canada,Canada,Northern America,6311.03,7352.94,2015.305,102.73,2.945,0.757278546,0.924889925,0.745754041,0.708770053,46.2827481,High Salary–High Cost
Singapore,Singapore,Singapore,Asia,5647.06,6235.29,3126.045,115.29,2.885,0.703489573,0.989380989,0.733578883,0.821176471,41.66249389,High Salary–Moderate Cost
Rangoon,Myanmar,Myanmar,Asia,228.46,260.35,600,135,0.31,0.022093744,0.489251489,0.000409249,0.916684492,34.28179251,Low Salary–Low Cost
Shantou,China,China,Asia,3684.93,4027.4,711.77,92.53,1.64,0.578050795,0.551023051,0.403519542,0.599037433,54.06138547,Low Salary–Low Cost
Washington,United States,United States,Northern America,6966,7925,2728.555,135,4.12,0.880446005,0.975135975,0.934417843,0.916684492,46.37212152,High Salary–Moderate Cost
Changzhou,China,China,Asia,3684.93,4027.4,377.24,75.63,1.265,0.578050795,0.330613831,0.227235523,0.382139037,64.18178834,High Cost–Low Salary
Abidjan,Ivory Coast,Cote d'Ivoire,,,,702.14,88.35,1.175,,0.544677545,0.178432576,0.547272727,,
Fuzhou,China,China,Asia,3684.93,4027.4,389.695,85.41,1.385,0.578050795,0.336182336,0.285860446,0.511764706,62.22194889,High Cost–Low Salary
Surat,India,India,Asia,327.97,384.43,249.86,38.09,0.9,0.073095189,0.210567211,0.067219153,0.072727273,46.68255976,High Cost–Low Salary
Alexandria,Egypt,Egypt,Africa,254.53,298.51,158.84,39.98,0.7,0.049969027,0.114219114,0.021894823,0.080534759,48.80240326,High Cost–Low Salary
Belo Horizonte,Brazil,Brazil,South America,1490.04,1711.16,331.3,70.83,1.315,0.310241586,0.287231287,0.251483528,0.326631016,51.66847147,High Cost–Low Salary
Taizhou,China,China,Asia,3684.93,4027.4,,42.71,1.425,0.578050795,,0.301514221,0.094224599,,
Pingdingshan,China,China,Asia,3684.93,4027.4,,78.3,1.21,0.578050795,,0.199508901,0.414652406,,
Guilin,China,China,Asia,3684.93,4027.4,156.95,62.28,1,0.578050795,0.11033411,0.098731328,0.232299465,73.0080631,High Cost–Low Salary
Boston,United States,United States,Northern America,6966,7925,3027.64,113.69,3.655,0.880446005,0.985754986,0.876406794,0.808770053,47.80643945,High Salary–Moderate Cost
Sydney,Australia,Australia,Oceania,4306.45,4903.23,1947.975,119.03,3.015,0.666632253,0.915824916,0.768671987,0.838716578,40.86896712,High Salary–High Cost
Jiujiang,China,China,Asia,3684.93,4027.4,,72.6,1.28,0.578050795,,0.234704318,0.345454545,,
Bozhou,China,China,Asia,3684.93,4027.4,249.12,85.37,1,0.578050795,0.209272209,0.098731328,0.510802139,69.14209726,High Cost–Low Salary
Barcelona,Spain,Spain,Europe,2579.28,2875.26,1232.515,106.58,2.11,0.47005988,0.767158767,0.529772867,0.748877005,39.98418247,Low Salary–Low Cost
Huizhou,China,China,Asia,3684.93,4027.4,,71.18,1.78,0.578050795,,0.442705136,0.32855615,,
Melbourne,Australia,Australia,Oceania,4306.45,4903.23,1451.835,114.04,3.18,0.666632253,0.827246827,0.803151218,0.810909091,42.53287215,High Salary–High Cost
Chenzhou,China,China,Asia,3684.93,4027.4,284.71,85.41,1.42,0.578050795,0.238539239,0.299263352,0.511764706,64.39496822,High Cost–Low Salary
Dalian,China,China,Asia,3684.93,4027.4,436.095,63.22,1.235,0.578050795,0.372701373,0.210660937,0.242139037,64.1610915,High Cost–Low Salary
Anqing,China,China,Asia,3684.93,4027.4,,61.165,1.41,0.578050795,,0.295477798,0.222459893,,
Jiangmen,China,China,Asia,3684.93,4027.4,282.93,28.47,1.565,0.578050795,0.236467236,0.365050133,0.027807487,65.55081874,High Cost–Low Salary
Harbin,China,China,Asia,3684.93,4027.4,298.945,92.53,1.495,0.578050795,0.254338254,0.329752404,0.599037433,62.95384814,Low Salary–Low Cost
Johannesburg,South Africa,South Africa,Africa,1441.44,1658.72,566.55,85.41,1.525,0.286908941,0.47008547,0.346224678,0.511764706,43.1099932,High Cost–Low Salary
Zibo,China,China,Asia,3684.93,4027.4,213.53,71.18,1.36,0.578050795,0.174307174,0.273889912,0.32855615,67.4242814,High Cost–Low Salary
Casablanca,Morocco,Morocco,Africa,1634.24,1896.89,436.995,80.36,1.21,0.352570721,0.372960373,0.199508901,0.445347594,52.08761072,High Cost–Low Salary
Kabul,Afghanistan,Afghanistan,Asia,853.74,1001.15,127.905,31.99,0.905,0.180569895,0.074333074,0.069674647,0.041069519,55.57132734,High Cost–Low Salary
Phoenix,United States,United States,Northern America,6966,7925,1970.5,93.25,3.64,0.880446005,0.918673919,0.875485983,0.604064171,50.52541174,High Salary–Moderate Cost
Xiamen,China,China,Asia,3684.93,4027.4,521.965,49.82,1.405,0.578050795,0.435120435,0.293226929,0.132727273,61.49635393,High Cost–Low Salary
Amman,Jordan,Jordan,Asia,1946.4,2284.91,409.49,89,1.725,0.412760686,0.353276353,0.42746061,0.550802139,50.50290255,High Cost–Low Salary
Chifeng,China,China,Asia,3684.93,4027.4,,,0.71,0.578050795,,0.023224882,,,
Kano,Nigeria,Nigeria,Africa,389.85,438.91,337.71,33.77,1.24,0.095395416,0.293188293,0.213014119,0.04802139,42.93967414,High Cost–Low Salary
Luzhou,China,China,Asia,3684.93,4027.4,,72.96,1.57,0.578050795,,0.367607939,0.34802139,,
Taiyuan,China,China,Asia,3684.93,4027.4,156.59,49.82,1.22,0.578050795,0.108909609,0.20308983,0.132727273,71.45436656,High Cost–Low Salary
Zhaoqing,China,China,Asia,3684.93,4027.4,185.06,71.175,1.41,0.578050795,0.138565139,0.295477798,0.327914439,67.88928313,High Cost–Low Salary
Yokohama,Japan,Japan,Asia,3158.67,3453.12,1073.885,124.09,3.04,0.501342143,0.71017871,0.7737876,0.871871658,37.47752913,Low Salary–Low Cost
Liuzhou,China,China,Asia,3684.93,4027.4,,60.5,1.14,0.578050795,,0.159504809,0.218502674,,
Seattle,United States,United States,Northern America,6966,7925,2673.83,118.21,4.6,0.880446005,0.973063973,0.968385513,0.834759358,46.15419386,High Salary–Moderate Cost
Jeddah,Saudi Arabia,Saudi Arabia,Asia,3840,4480,548.385,104.88,1.68,0.644332026,0.454286454,0.416615511,0.726203209,58.89611367,Low Salary–Low Cost
Berlin,Germany,Germany,Europe,3731.5,4048.63,1529.375,110.25,2.535,0.603964485,0.844599845,0.650705955,0.782673797,42.15574005,Low Salary–Low Cost
Baojishi,China,China,Asia,3684.93,4027.4,170.825,64.06,1.1,0.578050795,0.124061124,0.137712298,0.250160428,71.79596355,High Cost–Low Salary
Zaozhuang,China,China,Asia,3684.93,4027.4,,83.51,1.155,0.578050795,,0.168405975,0.477433155,,
Algiers,Algeria,Algeria,Africa,1148.84,1308.81,244.58,77.38,1.235,0.252632666,0.205387205,0.210660937,0.403208556,51.26769163,High Cost–Low Salary
Busan,South Korea,South Korea,Asia,2593.42,2889.81,520.215,90.91,2.98,0.483378071,0.432271432,0.751790464,0.579893048,45.42684323,Low Salary–Low Cost
Anshan,China,China,Asia,3684.93,4027.4,,63.21,1.23,0.578050795,,0.208103131,0.239786096,,
Detroit,United States,United States,Northern America,6966,7925,1466.67,103.43,3.145,0.880446005,0.82957783,0.792613055,0.716684492,53.84717093,High Salary–High Cost
Montreal,Canada,Canada,Northern America,6311.03,7352.94,1194.135,92.97,2.885,0.757278546,0.752913753,0.733578883,0.601925134,51.35988017,High Salary–High Cost
Jiaozuo,China,China,Asia,3684.93,4027.4,,110.32,1.14,0.578050795,,0.159504809,0.783636364,,
Lucknow,India,India,Asia,327.97,384.43,151.475,40.91,0.925,0.073095189,0.102952603,0.074483323,0.085561497,49.16347042,High Cost–Low Salary
Faisalabad,Pakistan,Pakistan,Asia,245.34,284.9,108.78,51.97,0.695,0.026429899,0.050764051,0.020564764,0.148449198,48.89885241,High Cost–Low Salary
Zhongshan,China,China,Asia,3684.93,4027.4,270.475,85.41,1.445,0.578050795,0.226884227,0.312563945,0.511764706,64.42033164,High Cost–Low Salary
Jaipur,India,India,Asia,327.97,384.43,186.71,39.52,0.905,0.073095189,0.141155141,0.069674647,0.079037433,48.33720081,High Cost–Low Salary
San Diego,United States,United States,Northern America,6966,7925,3055.35,99.95,3.52,0.880446005,0.986790987,0.861059955,0.675080214,48.75592539,High Salary–Moderate Cost
Brasilia,Brazil,Brazil,South America,1490.04,1711.16,445.7,75.61,1.48,0.310241586,0.379176379,0.323613669,0.381818182,47.65130552,High Cost–Low Salary
Mashhad,Iran,Iran,Asia,932.63,1070.97,554.575,88.52,0.725,0.192649184,0.458171458,0.026601187,0.548235294,44.90497256,High Cost–Low Salary
Zhenjiang,China,China,Asia,3684.93,4027.4,,85.37,1.075,0.578050795,,0.128504195,0.510802139,,
Urumqi,China,China,Asia,3684.93,4027.4,,42.71,1.42,0.578050795,,0.299263352,0.094224599,,
Minneapolis,United States,United States,Northern America,6966,7925,1901.16,123.75,3.505,0.880446005,0.911421911,0.858911398,0.869411765,49.71146567,High Salary–Moderate Cost
Addis Ababa,Ethiopia,Ethiopia,Africa,143.88,160.41,569.245,57.74,0.935,0.016415445,0.471898472,0.076324944,0.197647059,36.50857628,High Cost–Low Salary
Kuwait City,Kuwait,Kuwait,,,,1139.835,97.74,1.86,,0.735042735,0.465009208,0.655828877,,
Incheon,South Korea,South Korea,Asia,2593.42,2889.81,499.35,122.92,3.44,0.483378071,0.415177415,0.845303867,0.863636364,42.56520903,Low Salary–Low Cost
Quezon City,Philippines,Philippines,Asia,728.78,790.54,395.815,72.56,1.71,0.156721041,0.343952344,0.423675056,0.345240642,39.0375391,High Cost–Low Salary
Sanaa,Yemen,Yemen,Asia,120.98,133.36,244.11,56.47,2.035,0.013421433,0.204610205,0.505320237,0.188235294,34.50823532,High Cost–Low Salary
Surabaya,Indonesia,Indonesia,Asia,678.91,788.83,290.91,73.31,1.38,0.140925046,0.245532246,0.283916513,0.350802139,43.47560523,High Cost–Low Salary
Bandung,Indonesia,Indonesia,Asia,678.91,788.83,250.635,56.49,1.285,0.140925046,0.212121212,0.237569061,0.188770053,46.04799054,High Cost–Low Salary
Tampa,United States,United States,Northern America,6966,7925,2232.535,101.18,3.69,0.880446005,0.946127946,0.8789646,0.695935829,49.31013043,High Salary–Moderate Cost
Salvador,Brazil,Brazil,South America,1490.04,1711.16,399.95,76.54,1.48,0.310241586,0.346801347,0.323613669,0.389839572,48.42057438,High Cost–Low Salary
Rome,Italy,Italy,Europe,3467.23,3868.92,1219.235,115.48,2.155,0.533037374,0.762755763,0.547677512,0.821925134,42.5197987,Low Salary–Low Cost
Guatemala City,Guatemala,Guatemala,Central America,1222.65,1335.88,636.245,98.07,1.94,0.256659096,0.511007511,0.483016165,0.658395722,37.10546509,Low Salary–Low Cost
Denver,United States,United States,Northern America,6966,7925,2232.29,109.94,3.68,0.880446005,0.945868946,0.877839165,0.777005348,48.93376654,High Salary–Moderate Cost
Kyiv,Ukraine,Ukraine,Europe,530.73,622.8,471.96,90.15,1.275,0.115011357,0.394198394,0.231328013,0.572406417,38.40701563,High Cost–Low Salary
Putian,China,China,Asia,3684.93,4027.4,,53.18,1.405,0.578050795,,0.293226929,0.158930481,,
Taichung,Taiwan,Taiwan,Asia,3571.43,4037.27,529.525,68.73,2.595,0.561841834,0.444703445,0.662574176,0.302673797,52.20965305,Low Salary–Low Cost
Daqing,China,China,Asia,3684.93,4027.4,,49.825,1.78,0.578050795,,0.442705136,0.133262032,,
Guayaquil,Ecuador,Ecuador,South America,1260,1370,492.165,90.71,1.675,0.273281024,0.411292411,0.415183139,0.576898396,42.19358617,High Cost–Low Salary
Kaohsiung,Taiwan,Taiwan,Asia,3571.43,4037.27,443.505,91.44,2.405,0.561841834,0.378399378,0.619296092,0.587272727,53.30982175,Low Salary–Low Cost
La Paz,Bolivia,Bolivia,South America,1131.5,1236.99,352.445,64.54,1.54,0.248193269,0.30950531,0.353898097,0.258074866,46.30369442,High Cost–Low Salary
Hohhot,China,China,Asia,3684.93,4027.4,,42.71,1.07,0.578050795,,0.12645795,0.094224599,,
Pyongyang,North Korea,North Korea,Asia,192.22575,216.67064,198.78,48.03,2.2,0.017138138,0.156436156,0.560261919,0.120855615,35.1364865,High Cost–Low Salary
